 상위(%), 인원 , 총수입금액(억 원) , 총수입금액(만 원) 
0.1,19167,147132," 76,763 "
0.2,19167,65714," 34,285 "
0.3,19167,52032," 27,147 "
0.4,19168,44933," 23,442 "
0.5,19167,40407," 21,082 "
0.6,19167,37314," 19,468 "
0.7,19167,35019," 18,270 "
0.8,19168,33271," 17,358 "
0.9,19167,31848," 16,616 "
1,19167,30696," 16,015 "
2,191673,268974," 14,033 "
3,191673,229513," 11,974 "
4,191672,207166," 10,808 "
5,191673,191091," 9,970 "
6,191673,179197," 9,349 "
7,191673,170135," 8,876 "
8,191672,162736," 8,490 "
9,191673,156169," 8,148 "
10,191673,150077," 7,830 "
11,191673,144447," 7,536 "
12,191672,139314," 7,268 "
13,191673,134575," 7,021 "
14,191673,130028," 6,784 "
15,191672,125660," 6,556 "
16,191673,121522," 6,340 "
17,191673,117564," 6,134 "
18,191673,114012," 5,948 "
19,191672,110567," 5,769 "
20,191673,107273," 5,597 "
21,191673,104192," 5,436 "
22,191673,101304," 5,285 "
23,191672,98551," 5,142 "
24,191673,95948," 5,006 "
25,191673,93454," 4,876 "
26,191672,91155," 4,756 "
27,191673,88894," 4,638 "
28,191673,86694," 4,523 "
29,191673,84596," 4,414 "
30,191672,82533," 4,306 "
31,191673,80590," 4,205 "
32,191673,78749," 4,109 "
33,191673,76948," 4,015 "
34,191672,75204," 3,924 "
35,191673,73535," 3,836 "
36,191673,71907," 3,752 "
37,191673,70324," 3,669 "
38,191672,68935," 3,597 "
39,191673,67531," 3,523 "
40,191673,66160," 3,452 "
41,191672,64748," 3,378 "
42,191673,63413," 3,308 "
43,191673,62133," 3,242 "
44,191673,60897," 3,177 "
45,191672,59659," 3,113 "
46,191673,58448," 3,049 "
47,191673,57400," 2,995 "
48,191673,56312," 2,938 "
49,191672,55215," 2,881 "
50,191673,54131," 2,824 "
51,191673,53041," 2,767 "
52,191672,51985," 2,712 "
53,191673,50932," 2,657 "
54,191673,49978," 2,607 "
55,191673,48953," 2,554 "
56,191672,48053," 2,507 "
57,191673,47164," 2,461 "
58,191673,46274," 2,414 "
59,191673,45731," 2,386 "
60,191672,44862," 2,341 "
61,191673,44011," 2,296 "
62,191673,43372," 2,263 "
63,191672,42588," 2,222 "
64,191673,41810," 2,181 "
65,191673,41271," 2,153 "
66,191673,40525," 2,114 "
67,191672,40203," 2,097 "
68,191673,39788," 2,076 "
69,191673,38785," 2,023 "
70,191673,37644," 1,964 "
71,191672,36601," 1,910 "
72,191673,35425," 1,848 "
73,191673,34318," 1,790 "
74,191673,33153," 1,730 "
75,191672,31895," 1,664 "
76,191673,30613," 1,597 "
77,191673,29436," 1,536 "
78,191672,28063," 1,464 "
79,191673,26927," 1,405 "
80,191673,25555," 1,333 "
81,191673,24230," 1,264 "
82,191672,23044," 1,202 "
83,191673,21848," 1,140 "
84,191673,20489," 1,069 "
85,191673,19126, 998 
86,191672,17757, 926 
87,191673,16372, 854 
88,191673,14972, 781 
89,191672,13635, 711 
90,191673,12237, 638 
91,191673,10956, 572 
92,191673,9693, 506 
93,191672,8351, 436 
94,191673,7127, 372 
95,191673,6027, 314 
96,191673,4773, 249 
97,191672,3641, 190 
98,191673,2578, 134 
99,191673,1356, 71 
100,191673,199, 10 
