,제목,분류,IDS,동영상 길이,조회수,좋아요 수,댓글 수
0,[CES 2022] The Better Life You Deserve : Main | LG, Science & Technology,ZKQ-u9vEPTs,Long,36527695,777,75
1,MOMOLAND X NATTI NATASHA 'Yummy Yummy Love' M/V, Entertainment,crUnaCpci2U,Short,31626183,655426,55869
2,"TAEYONG, JENO, HENDERY, YANGYANG, GISELLE 'ZOO' Stage Video", Music,0IBSemQmno8,Short,29759105,1295095,24349
3,"NMIXX ""O.O"" M/V", Music,3GWscde8rM8,Short,31730285,723275,139012
4,ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV, Music,osmHArcf_aE,Short,26365905,1843669,149203
5,Encanto OST (acapella), Music,vsmkpS6z4gg,Short,23928804,595581,13087
6,fromis_9 (프로미스나인) 'DM' Official MV, Music,4gXmClk8rKI,Short,23382309,329472,20307
7,Exynos 2200: Playtime is over | Samsung, Science & Technology,xeAxDgfat0M,Short,21792771,15311,1559
8,YENA (최예나) - SMILEY (Feat. BIBI) MV, Music,y9kkXTucnLU,Medium,18757875,426488,19841
9,Apink 에이핑크 'Dilemma' MV, Entertainment,RP4lbSymeZ4,Short,16520484,199591,20099
10,Galaxy S22 Ultra Official film: The epic standard | Samsung, Science & Technology,GaF3pH1bPg4,Short,16265890,28474,1433
11,Galaxy S22 Ultra: Official Introduction Film | Samsung, Science & Technology,2Jdpwb_0F5w,Short,16265288,52501,2836
12,Samsung Galaxy Unpacked February 2022: Tiger in the city, Science & Technology,gTwHmYhVAQE,Short,15391791,16368,1131
13,MAX CHANGMIN 최강창민 'Devil' MV, Music,XVwi2VF7_R4,Medium,13233948,101567,5970
14,비투비 (BTOB) - '노래 (The Song)' Official Music Video, Music,AvM16Vy1byc,Medium,16213102,156461,27413
15,TAEYEON 태연 'INVU' MV, Music,AbZH7XWDW_k,Short,12273173,748478,36474
16,DRIPPIN(드리핀) ‘Villain’ MV, Entertainment,63fgP_RJFN4,Short,11470315,51807,6046
17,TAEYEON 태연 'Can't Control Myself' MV, Music,RccDIpx4ZMM,Short,10593646,537133,20389
18,[입덕직캠] 갓 더 비트 윈터 직캠 4K 'Step Back' (GOT the beat WINTER FanCam) | @MCOUNTDOWN_2022.1.27, Entertainment,UAQT5Hgrm1Q,Medium,10246753,384448,20234
19,Galaxy Unpacked February 2022: Official Replay l Samsung, Science & Technology,KpTBm_fg-Wk,Long,9360084,0,0
20,[STATION : NCT LAB] MARK 마크 'Child' MV, Music,VbIf3z2SqHg,Short,9338419,1073077,74086
21,[GOT the beat - Step Back] Special Stage | #엠카운트다운 EP.737 | Mnet 220127 방송, Entertainment,Eq1_WPnzvKw,Medium,7481510,409412,12166
22,ASTRO 아스트로 진진&라키 - 숨 좀 쉬자(Just Breath) M/V, Entertainment,PM39oZDPzOs,Short,7304221,182435,23346
23,The Freestyle: Official Launch Film | Samsung, Science & Technology,IPFHcQSpu1g,Short,7169737,9442,392
24,미니팡 교육동요 | 알록달록 동요 모아보기 | 과일 | 음식자판기 | 공룡달걀 | 주유 | 색깔놀이 | 미니팡 3D동요!, Film & Animation,2x-MeMy_02U,Medium,6377890,28409,0
25,"파스타 장인! 25년 경력 셰프의 토마토, 크림, 오일 파스타 만들기 / pasta making skill! tomato, cream, oil pasta making", Travel & Events,SfOogcQIFBc,Medium,6514576,70236,1407
26,[최초공개] Kep1er(케플러) - WA DA DA (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,Zzl9eAcI1lk,Medium,6227097,283251,4622
27,[NMIXX] Debut Trailer, Music,nvwIVPtD5fI,Short,6055084,487397,42090
28,WOOZI 'Ruby' Official MV, Music,oV_2853N4n4,Short,5720165,533733,29030
29,'SPECIAL STAGE' '신'인 걸그룹 'GOT the beat'의 'Step Back' 무대, Entertainment,xbLbHjeOvMo,Medium,5581773,224933,8282
30,[MV] VIVIZ _ BOP BOP!, Entertainment,KLF85_qHujQ,Short,5470034,321247,22245
31,[단독샷캠] 에스파 'Dreams Come True' 단독샷 별도녹화│aespa ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,wHvpwSxCOyQ,Short,5414702,116297,2329
32,"태연(TAEYEON)의 킬링보이스를 라이브로! - I,그대라는 시,만약에,11:11,Blue,Time Lapse,Weekend,불티,사계,Gravity,INVU,너를 그리는 시간", Music,5ch94AaPZRQ,Long,6167870,382521,28659
33,Ice Pacman vs Lava Monster | Arcade Game Stop Motion #Shorts, Entertainment,7EWZI9LkAes,Short,4905828,252487,46
34,Jamie Miller - Wishes (설강화 OST) [Music Video], Music,N4wA8ApO-PI,Medium,4754299,0,6895
35,BLACKPINK 2022 WELCOMING COLLECTION PREVIEW, Music,OZdK1czhuv8,Short,4606671,738455,34161
36,[최초공개] Kep1er(케플러) - Shine (Kep1er Ver.) (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,zCyM_7PuYbo,Medium,4405001,195142,4944
37,Galaxy Tab S8 Ultra: Official Launch Film | Samsung, Science & Technology,hJdy6aOrWs8,Short,4234123,2694,136
38,[ITZY VLOG] YUNA's Graduation VLOG, Entertainment,iME8rIDpXsE,Medium,4099067,287939,5861
39,"Stray Kids ""ODDINARY"" Trailer", Music,WvVs1vgxxes,Short,3994579,785649,49370
40,콜라에 멘토스 넣어 먹기 mentos & cocacola #shorts, People & Blogs,uBGufCcQaQ4,Short,3883318,0,26
41,"[광고] 현대자동차 자율주행 ""모두의 자율주행이 될 때까지"" - 본편", Cars & Vehicles,M1EhTNvPspQ,Short,3714079,205,54
42,Galaxy Tab S8 Ultra: Official Introduction | Samsung, Science & Technology,iTXEJQlMjMI,Short,3437848,21165,1113
43,미니팡 교육동요 | 알록달록 미끄럼틀 | 토끼 | 오리 | 염소 | 돼지 | 색깔놀이 | 미니팡 3D동요!, Film & Animation,ie8MjYfm-I4,Short,3386762,11224,0
44,Kep1er(케플러) - WA DA DA @인기가요 inkigayo 20220123, Entertainment,dFR0-anGs00,Short,3188163,97964,1732
45,ซื้อวันนี้ไฮลักซ์ รีโว่ ทุกรุ่น วันนี้ รับข้อเสนอพิเศษ, Cars & Vehicles,a8STFD0lxTk,Short,3213983,62,0
46,BTS (방탄소년단) PTD ON STAGE - SEOUL: LIVE VIEWING SPOT, Music,7BmDoOmLGDs,Short,3084011,737127,20765
47,"NMIXX ""O.O"" M/V Teaser", Music,J9fq35mmBYc,Short,2955066,276693,15836
48,♨핫클립♨ ＂원곡으로 착각할 정도..＂ 공감과 상상을 자극하는 목소리 33호 가수 '제발'｜싱어게인2｜JTBC 220124 방송, Entertainment,H2Tu7BdYDfo,Medium,2960655,34516,3736
49,ASTRO 아스트로 문빈&산하 - Ghost Town M/V, Entertainment,gnEOsAwDsRo,Short,2927165,115652,10895
